Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled
INN00002,2,0,2,3,0,5,2018,11,6,0,0,0,106.68,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00004,2,0,0,2,0,211,2018,5,20,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00005,2,0,1,1,0,48,2018,4,11,0,0,0,94.5,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00008,2,0,1,3,0,83,2018,12,26,0,0,0,105.61,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00013,2,0,2,1,0,30,2018,11,26,0,0,0,88.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00016,2,0,0,2,0,256,2018,6,15,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00023,2,0,2,4,0,2,2018,3,20,0,0,0,85.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00024,2,0,0,3,0,37,2018,10,13,0,0,0,105.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00025,2,0,2,1,0,130,2018,5,22,0,0,0,94.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00026,2,0,0,2,0,99,2018,4,28,0,0,0,114.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00032,2,0,2,2,0,107,2018,11,13,0,0,0,87.5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00034,2,0,0,1,0,2,2018,1,9,0,0,0,69.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00035,2,0,0,2,0,72,2018,10,7,0,0,0,85.5,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00039,2,0,2,3,0,247,2018,11,19,0,0,0,63.75,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00040,2,0,2,1,0,186,2018,7,30,0,0,0,121.8,1,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00041,2,0,0,4,0,64,2018,11,1,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00042,2,0,0,2,0,35,2018,6,21,0,0,0,102.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
